id,x_pos,x_vel,y_pos,y_vel,mass
1,0.5805351179,0.561027776,0.8225410581,0.2518760193,0.4711762986
2,0.4643937318,0.1992856078,0.2056390147,0.5220312153,0.899429242
3,0.7094672548,0.5678721197,0.5611407637,0.1444357112,0.01433458032
4,0.8284069516,0.8854448159,0.9069016494,0.4595949365,0.04446259756
5,0.1214234671,0.01927185453,0.09531480211,0.997729346,0.1483216152
6,0.8600590206,0.4254236383,0.1112576456,0.6936513014,0.1500900645
7,0.6216791182,0.7568119406,0.1839812456,0.2594950838,0.1245443129
8,0.3025465548,0.8927692774,0.3037935189,0.3327623824,0.9743290446
9,0.3461290874,0.5667129385,0.6338008711,0.9556214032,0.1288092705
10,0.7633317129,0.4725389172,0.73763772,0.6611256721,0.5330152763
11,0.5926331931,0.7157435775,0.5060262969,0.9429937293,0.349047983
12,0.5506453319,0.7418717108,0.1581743456,0.1678183996,0.6625091037
13,0.757403439,0.4227412141,0.7184316319,0.05205069787,0.6561049498
14,0.5857344268,0.8099968682,0.9242903399,0.6708296002,0.4974998807
15,0.8803386727,0.1758963265,0.6087289887,0.5917060927,0.6143570585
16,0.01976084556,0.3528337468,0.2180627579,0.1335359811,0.2934966883
17,0.5532134793,0.05595752866,0.2758780043,0.9392926558,0.1756672666
18,0.4342568965,0.8273407182,0.2842921833,0.02127785464,0.1782002602
19,0.1946272656,0.4755133473,0.7656947293,0.1881842756,0.4348059499
20,0.7540444367,0.4007687991,0.8912885948,0.2956915178,0.05889823652
21,0.9456197816,0.9945065795,0.4171659898,0.07575243361,0.2812961382
22,0.2515234368,0.3799761685,0.4543159481,0.3944540726,0.3421684532
23,0.6898595062,0.1221381854,0.9358757258,0.6643136889,0.4460627044
24,0.2712366691,0.1759601337,0.5131016076,0.7940972833,0.1509876179
25,0.9523109714,0.2653163455,0.01094923923,0.4977238521,0.2263357037
26,0.5536162726,0.08876251279,0.5048171724,0.003546352002,0.9319259731
27,0.6802873109,0.2338073018,0.5419218758,0.2062754549,0.3846322199
28,0.2868188952,0.4479049106,0.02393636218,0.08604015778,0.3261930154
29,0.1607944125,0.9622439785,0.7919381438,0.7825547859,0.3036142933
30,0.2655553365,0.8935099108,0.01037716867,0.05708908607,0.7932310617
31,0.5780727293,0.3591489775,0.03368782845,0.0009145702771,0.275101156
32,0.7858211015,0.8332646831,0.5573333356,0.756126598,0.1003137662
33,0.9652431515,0.4431277146,0.504484965,0.7032186152,0.786046856
34,0.1544341846,0.3603830037,0.280202455,0.03951109274,0.5677944945
35,0.553963061,0.1763884638,0.7368962964,0.9235147602,0.2050378953
36,0.9422860529,0.1677221092,0.4380163318,0.3925338755,0.04449206252
37,0.7759990374,0.6557451251,0.5813252638,0.07429211888,0.3786135944
38,0.3602123803,0.2432106704,0.2487800616,0.3080899415,0.404050375
39,0.420622092,0.5712593141,0.4869576868,0.666979271,0.2168750615
40,0.3863896421,0.381743852,0.09012612177,0.02966747143,0.8394405583
41,0.701732159,0.09267765576,0.8574757118,0.2893393401,0.4224682903
42,0.5241638024,0.7987021558,0.5266894975,0.5063125303,0.09319044705
43,0.2386176828,0.5938210208,0.5479458633,0.8124181455,0.5267657826
44,0.3192174789,0.3802498107,0.3556103726,0.6572249343,0.7151538083
45,0.2042566369,0.8750813722,0.8192879189,0.04970204227,0.4132183379
46,0.01498154113,0.3555693551,0.1115705784,0.293641949,0.4730216469
47,0.145065535,0.7941829673,0.3167302867,0.3411414371,0.4923196015
48,0.9751978334,0.4261884819,0.7227697269,0.2956656698,0.6543075705
49,0.2260023005,0.4653639335,0.8886587616,0.784696138,0.7479578479
50,0.7525387773,0.6375553501,0.2592478549,0.8916905786,0.4588080723
51,0.9049293095,0.4371344332,0.3122643172,0.08805907102,0.4942872155
52,0.9321906105,0.5280187703,0.9649602605,0.1380873576,0.2697773619
53,0.2901431068,0.5087678466,0.242396713,0.2632144694,0.9994243542
54,0.1293060112,0.3403692805,0.01501108052,0.946799432,0.8581107402
55,0.6849768044,0.09568104696,0.950029775,0.636486673,0.1716779071
56,0.7692328117,0.3310977955,0.6894520155,0.258508256,0.580183399
57,0.07338144536,0.3038600532,0.6667446887,0.8967359489,0.4306882108
58,0.5294246773,0.4625273633,0.9050519223,0.2090237453,0.2057391451
59,0.5503926488,0.1234874123,0.6016378123,0.1543576431,0.255457505
60,0.5719401934,0.01297516354,0.2964440616,0.3865560437,0.002095862961
61,0.9513888265,0.401927514,0.9470588642,0.2337406792,0.9100734248
